Autor,Objeto (é imagem)?,Objeto,Enunciado,Alternativa a,Alternativa b,Alternativa c,Alternativa d,Alternativa e,Resposta,"Resolução 
(caso discursiva)","Origem
(Fonte)",Ano,"Disciplinas 
(Separadas por vírgula)",Grau de dificuldade,Nível de Ensino,"Tags
(Separadas por vírgula)"
Mupi,,,"<p>Um menino de 1,5 m de altura produz uma sombra
de 50 cm. No mesmo instante, um prédio próximo
ao menino produz uma sombra de 20 m. A altura do
prédio, em metros, é</p>",20,30,50,60,80,d,,Etec,2010,9,E,3,"regra de três, altura, matemática"
Mupi,,,"<p>Um saco de cimento de 50 kg está no alto de um
prédio em construção a 30 m do solo. Sabendo que
a aceleração da gravidade local é de 10 m/s2,
podemos afirmar que a energia potencial do saco de
cimento em relação ao solo, em joule, vale</p>",5 000,10 000,15 000,20 000,30 000,c,,Etec,2010,9,M,3,"energia potencial, aceleração, peso, força"
Mupi,,,"<p>Um paralelepípedo homogêneo de madeira, de altura
igual a 20 cm e área da base igual a 6,25 cm<sup>2</sup>,
apresenta 100 g de massa. Podemos afirmar que o
paralelepípedo, quando colocado na água, flutuará,
pois sua densidade é</p><p><p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img006.png""/></p>","menor que a da água e vale 0,4 g/cm<sup>3</sup>","menor que a da água e vale 0,6 g/cm<sup>3</sup>","menor que a da água e vale 0,8 g/cm<sup>3</sup>","igual à da água e vale 1,0 g/cm<sup>3</sup>","maior que a da água e vale 1,2 g/com<sup>3</sup>",c,,Etec,2010,9,M,3,"densidade, volume"
Mupi,,,"<p>Um condutor eletrizado positivamente está isolado. Ao ser ligado à Terra, por meio de um fio condutor, ele se descarrega em virtude da subida da seguinte partícula proveniente dessa ligação. </p><p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img007.png""/></p>",prótons,nêutrons,quarks,neutrinos,elétrons,e,,Etec,2010,9,M,3,"eletrostática, fio terra"
Mupi,,,"<p>Pirita (FeS<sub>2</sub>) é um mineral conhecido como “ouro
dos tolos” por ser amarelo e apresentar brilho
metálico semelhante ao do ouro (Au), embora não
seja um metal. Entretanto, é possível saber
facilmente se uma amostra é de ouro puro ou é de
pirita. Para isso, basta </br>
I. determinar a massa;</br>
II. testar a condutibilidade elétrica; </br>
III. medir o volume.</br>
É correto o que se afirma em</p>","I, apenas.","II, apenas.","III, apenas.","I e II, apenas.","I, II e III.",b,,Etec,2010,10,H,3,"metais, metal"
Mupi,,,"<p>Considere o que se observa quando um comprimido antiácido efervescente é acrescentado à água, ou seja, a rápida produção de gás. Essa observação leva a concluir o seguinte:</p>","evaporando-se a solução aquosa obtida após a liberação de gás, obtém-se o comprimido.",a mistura “comprimido efervescente e água” resultou em transformação química.,"o comprimido efervescente decompõe a água em seus dois gases constituintes, H<sub>2</sub> e O<sub>2</sub>.",o gás produzido é tóxico e a solução resultante não deve ser ingerida se apresentar bolhas.,"o comprimido fez com que houvesse liberação dos gases, que estavam dissolvidos na água.",b,,Etec,2010,10,E,3,"gases, transformação química, efervescente"
Mupi,,,"<p>Entre as alternativas abaixo, a que indica um par de materiais constituídos por fibras de celulose é</p>",papel e algodão.,papel e sabão.,gelatina e borracha.,borracha e sabão.,sabão e algodão.,a,,Etec,2010,10,E,3,"celulose, fibras, composição de materiais"
Mupi,,,<p>Considere os átomos neutros dos elementos químicos representados abaixo:</br> I. oxigênio (Z=8)</br> II. argônio (Z=18)</br> III. cálcio (Z=20)</br> IV. sódio (Z=11)</br> Os dois elementos químicos que apresentam maior número de elétrons na camada de valência são</p>,I e II.,I e III.,II e III.,II e IV.,III e IV.,a,,Etec,2010,10,H,3,"elementos químicos, camada de valência, átomos"
Mupi,,,"<p>Da água do mar se obtém o sal de cozinha. Para isso, é utilizado um processo de separação de misturas conhecido como _________, que envolve a mudança de estado físico da água denominado _________. </br>As lacunas desse texto são corretamente preenchidas, respectivamente, com</p>",<em>solidificação e ebulição.</em>,<em>solidificação e vaporização.</em>,<em>fusão fracionada e ebulição.</em>,<em>cristalização fracionada e vaporização.</em>,<em>cristalização fracionada e destilação fracionada.</em>,d,,Etec,2010,10 e 9,E,3,"separação de misturas, estado físico, obtenção de sal"
Mupi,,,<p>O petróleo é o recurso natural a partir do qual se obtêm</p>,"plásticos, como o polietileno.","combustíveis, como o biodiesel.","gorduras, como a margarina.","ligas metálicas, como o aço.","desinfetantes, como a água sanitária.",a,,Etec,2010,10,E,3,"petróleo, derivados do petróleo, plástico"
Mupi,,,"<p>A principal fonte de energia para o funcionamento do organismo humano é a oxidação da glicose, cuja equação global não balanceada é: </br><strong>1</strong> C<sub>6</sub>H<sub>12</sub>O<sub>6</sub> + <strong>x</strong> O<sub>2</sub> → <strong>y</strong> CO<sub>2</sub> + z H<sub>2</sub>O</br>
Nessa equação, os coeficientes estequiométricos <strong>x</strong>,
<strong>y</strong> e <strong>z</strong> são, respectivamente, </p>","1, 1 e 1.","1, 1 e 6.","3, 6 e 12.","3, 6 e 6.","6, 6 e 6.",e,,Etec,2010,10,M,3,"equação global não balanceada, equação química, oxidação da glicose"
Mupi,,,"<p>A celulose, carboidrato encontrado na parede das células vegetais, confere rigidez e firmeza às plantas. A digestão desse carboidrato é difícil, sendo raros os organismos que possuem a enzima celulase necessária à sua quebra. Nos seres humanos, por exemplo, pela ausência dessa enzima, a celulose forma as fibras vegetais, que não são digeridas nem absorvidas pelo tubo digestório, sendo eliminadas com as fezes.</p> </br><p>Uma alimentação rica em fibras vegetais é importante porque</p>","favorece a coagulação do sangue, impedindo hemorragias.",previne problemas de deglutição e favorece a digestão dos lipídios.,"favorece a prisão de ventre, causando hemorroidas e fissuras anais.",estimula a produção de saliva e a perfeita mastigação dos alimentos.,"estimula o peristaltismo, que impele o alimento ao longo do tubo digestório.",e,,Etec,2010,8,E,3,"celulose, digestão, sistema digestório, fibras"
Mupi,,,"<p>No século XIX, o peixe-boi marinho, representado na foto a seguir, existia aos milhares, desde o Espírito Santo até o Amapá. A morte acidental em redes de pesca, a degradação ambiental e, indiscriminada, para aproveitar o óleo, a carne e o couro resistente, colaboraram para que esses animaisprincipalmente, a caça entrassem em extinção no Brasil.</p></br> <p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img008.png""/></p> </br> <p>(http://www.todabiologia.com/zoologia/peixe_boi.htm Acesso 09.05.2010.)</p></br><p> Analise as afirmações relacionadas a esse animal.</br>
I. É um animal placentário.</br>
II. Possui bexiga natatória cheia de gás para ajudar na flutuação.</br>
III. Possui pelos finos distribuídos por toda a superfície do corpo.</br>
IV. Sendo um animal aquático, possui brânquias para respirar.</br>
V. Possui dentes caninos bem desenvolvidos e incisivos afiados, adaptados para perfurar e rasgar a carne
de outros animais.</br>
Assinale a alternativa que apresenta as afirmativas corretas.</p>","I e III, apenas.","IV e V, apenas.","I, II e IV, apenas.","II, III e V, apenas.","I, II, III, IV e V.",a,,Etec,2010,8,M,3,"peixe-boi, mamíferos, mamíferos aquáticos "
Mupi,,,"<p>As vitaminas são nutrientes importantes para o bom funcionamento do nosso organismo, principalmente porque ajudam a prevenir inúmeras doenças. Vitaminas não são produzidas pelo organismo humano devendo ser adquiridas através da ingestão de alimentos, tais como frutas, verduras, legumes e carnes. </br> Considere a tabela a seguir que relaciona as vitaminas A, D, K, B12 e C com algumas de suas principais fontes.</p><p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img009.png""/></p> </br><p>Assinale a alternativa que preenche corretamente a tabela, substituindo, respectivamente, os números 1, 2, 3, 4 e 5 pelas doenças provocadas devido à carência de cada uma das vitaminas no organismo humano.</p>",1 - cegueira noturna / 2 - hemorragia / 3 - anemia / 4 - raquitismo / 5 - escorbuto,1 - raquitismo / 2 - cegueira noturna / 3 - raquitismo / 4 - escorbuto / 5 - anemia,1 - hemorragia / 2 - raquitismo  / 3 - anemia / 4 - cegueira noturna / 5 - escorbuto,1 - cegueira noturna / 2 - raquitismo  / 3 - hemorragia / 4 - anemia / 5 - escorbuto,1 - cegueira noturna / 2 - escorbuto / 3 - raquitismo / 4 - anemia / 5 - hemorragia,d,,Etec,2010,8,M,3,"vitaminas, falta de vitaminas, deficiência de vitaminas, doenças"
Mupi,s,etec-2010/img010.png,"<p>A figura representa alvéolos pulmonares e seus capilares, que fazem parte do sistema respiratório humano.</p>
 <p>Considerando o sistema respiratório humano, assinale a alternativa correta.</p>","Nos alvéolos pulmonares, o sangue elimina monóxido de carbono e absorve oxigênio.",O sangue venoso chega aos pulmões pelas veias pulmonares e retorna ao coração pelas artérias pulmonares.,"Quando o sangue chega aos alvéolos pulmonares, ocorre a difusão do gás carbônico para o sangue, que passa de venoso para arterial.","A quantidade de alvéolos pulmonares aumenta quando uma pessoa se desloca para uma região de grande altitude, onde a atmosfera é rarefeita.","Nos alvéolos pulmonares, o gás oxigênio do ar difunde-se para os capilares sanguíneos, e penetra nas hemácias, onde se combina com a hemoglobina.",e,,Etec,2010,8,M,3,"sistema respiratório, pulmões, sangue venoso, sangue arterial, alvéolos"
Mupi,,,"<p>Assinale a alternativa que apresenta, corretamente, uma diferença entre gimnospermas e angiospermas.</p>",Características - Raiz / Gimnospermas - não apresentam / Angiospermas - apresentam,Características - Flores / Gimnospermas - apresentam / Angiospermas - não apresentam,Características - Sementes / Gimnospermas - não apresentam / Angiospermas - apresentam,Características - Fruto / Gimnospermas - não apresentam / Angiospermas - apresentam,Características - Vasos condutores de seiva / Gimnospermas - apresentam / Angiospermas - não apresentam,d,,Etec,2010,8,M,3,"gimnosperma, angiosperma, diferenças entre gimnospermas e angiospermas"
Mupi,,,"<p>O esquema a seguir representa o ciclo do carbono na natureza.</p></br> </p>
<p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img011.png""/></p></br><p>Assinale a alternativa que substitui corretamente os números de 1 a 5 por seu respectivo significado neste
ciclo.</p>",1 - fotossíntese / 2- CO2 / 3 - seres heterótrofos / 4 - respiração / 5 - seres autótrofos,1 - respiração / 2 - fotossíntese / 3 - CO2 / 4 - seres autótrofos / 5 - seres heterótrofos,1 seres heterótrofos / 2 - respiração / 3 - CO2 / 4 - fotossíntese / 5 - seres autótrofos,1 - seres autótrofos / 2 - respiração / 3 - fotossíntese / 4 - seres heterótrofos / 5 - CO2,1 - seres heterótrofos / 2 - CO2 / 3 - respiração / 4 - fotossíntese / 5 - seres autótrofos,c,,Etec,2010,8,H,3,"respiração, combustão, seres autótrofos, seres heterótrofos, fotossíntese"
Mupi,,,"<p>Associe corretamente as doenças parasitárias humanas citadas na Coluna I com suas respectivas formas de contágio na Coluna II.</p></br></p>
<p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img012.png""/></p> <p>Assinale a alternativa que apresenta na Coluna II, de cima para baixo, a sequência correta.</p>","4, 3, 1, 2.","1, 2, 4, 3.","2, 4, 3, 1.","4, 2, 1, 3.","3, 2, 1, 4.",d,,Etec,2010,8,M,3,"doenças parasitárias, esquistossomose, cisticercose, teníase, malária"
Mupi,,,"<p>Leia o texto e assinale a alternativa correta. </br> <em>“ Se extraterrestres chegarem aqui,o resultado será mais ou menos como quando Cristóvão Colombo chegou à América: nada bom para os índios.”</br> (Stephen Hawking, físico, recomendando que ninguém se arrisque a buscar vida fora da Terra cit. in revista VEJA, ed. 5 de maio de 2010, pág.70)</br> O físico Stephen Hawking faz referência</p>","à perda da cultura, pois os indígenas absorveram de bom grado os valores dos europeus, e o mesmo poderá acontecer conosco, que,em contato com alienígenas, passaremos a ter outras maneiras de agir e de pensar.","à imposição do protestantismo pelos espanhóis aos índios, que tiveram que abandonar suas crenças e tradições. Se tivermos contatos com seres de outros planetas, nossos valores religiosos e morais desaparecerão.","ao extermínio dos indígenas por doenças até então desconhecidas por eles e que foram trazidas pelos europeus. O contato com seres extraterrestes pode ser fatal à raça humana, com a chegada de vírus e bactérias por nós desconhecidos. à miscigenação que ocorreu entre indígenas e brancos, o que descaracterizou a população americana,
originando uma grande mestiçagem. O físico teme,da mesma maneira,o fim da raça humana e o surgimento de avatares.","à miscigenação que ocorreu entre indígenas e brancos, o que descaracterizou a população americana, originando uma grande mestiçagem. O físico teme,da mesma maneira,o fim da raça humana e o surgimento de avatares.","à venda das terras indígenas para os espanhóis. Segundo Hawking ,os alienígenas poderiam estar interessados em nossas riquezas naturais (florestas, água potável e minérios), que lhes seriam vendidos, e nossas reservas seriam esgotadas, o que nos traria a morte.",c,,Etec,2010,5,E,3,"colonização, colonização americana, problemas da colonização, américa latina, américa"
Mupi,,,"<p>A foto do casal (sem identificação) foi feita em 1879, pelo fotógrafo Militão de Azevedo. Usando calçados, eles revelam seu status social, o de libertos, pois uma das primeiras providências, ao se tornarem livres, era comprar sapatos. </p>
<p class=""text-center""><img src=""https://s3.us-east-2.amazonaws.com/masteraula/images/question_images/etec-2010/img013.png""/></p><p> (Fonte: http://www.studium.iar.unicamp.br/cinco/1.htm?main=index.html Acesso em 08/05/2010, às 18h32min)</br>
Assinale a alternativa correta.</p>","A compra de sapatos era possível, pois ao serem libertados, os ex-escravos ganhavam uma indenização de seus senhores pelos anos trabalhados.","O uso de sapatos era proibido aos escravos, que, uma vez alforriados, tentavam demonstrar status social semelhante ao dos antigos senhores.","Os ex-escravos queriam copiar a moda usada pelos antigos patrões: sombrinha para abrigar-se do sol para as mulheres, terno, sapatos e chapéu para os homens.","O casal foi beneficiado pela Lei Áurea, que extinguiu a escravidão e concedeu gratuitamente roupas decentes para os ex-escravos.","Pela Lei Áurea, além da liberdade, os ex-escravos eram obrigados a comprar e a usar calçados, embora muitos se queixassem de dores nos pés pelo desconforto causado (repare nas fisionomias fechadas).",b,,Etec,2010,5,M,3,"escravidão, libertação de escravos, lei áurea, história do brasil"
Mupi,,,"<p><em>Desde as 9h30, Brasília é a Capital.</em> Essa era a manchete do (jornal) O Estado em 21 de abril de 1960.</br>
(http://www.estadao.com.br/estadaodehoje/20100421/not_imp540981,0.php Acesso em 08/05/2010, às 19h09min.Adaptado)</br>
Assinale de acordo com o código dado.</br> I. A construção de uma nova capital constava do Plano de Metas de Juscelino Kubitscheck, ao
lado de propostas, como a construção de rodovias (Belém-Brasília), a produção de energia elétrica e a industrialização do Brasil.</br> II. A implantação de Brasília no interior do Brasil era uma das estratégias para o desenvolvimento de nosso país, sendo divulgado o slogan “50 anos em 5”, isto é, em 5 anos, o Brasil cresceria como se houvessem transcorridos 50 anos.</br> III. A nova capital substituía o Rio de Janeiro, capital desde a época da mineração (século XVIII). Todo o ouro das Gerais era embarcado de lá para Portugal, daí sua importância econômica e política.</br> IV. A primeira capital do Brasil foi Salvador, Bahia, fundada por Tomé de Souza (1o governador geral), momento em que a cana-de-açúcar, grande riqueza colonial, estava sendo implantada no nordeste brasileiro.</br> V. São Paulo também já foi capital do Brasil à época do café (século XIX), riqueza que projetou o Brasil na economia internacional. Entretanto, a metrópole paulista, não tendo mais como crescer, deixou de ser o centro administrativo-político nacional após meio século.</br> Assinale </p>","se I, II, III, IV e V forem corretas.","se I, II, III e IV forem corretas.","se II, III e IV forem corretas.","se III, IV e V forem corretas.",se III e V forem corretas.,b,,Etec,2010,5,M,3,"brasília, implantação de brasília, crianção de brasília, Juscelino Kubitscheck, 50 anos em 5, capital do Brasil, história do brasil"
Mupi,,,"<p>Em um dicionário, encontramos atualmente as seguintes definições de DEMOCRACIA: </p><p>I. governo do povo; governo em que o povo exerce a soberania. </br>II. sistema político cujas ações atendem aos interesses populares . (...) </p><p>(adap. Dicionário HOUAISS in UOL Educação,www.uol.com.br .Acesso em 09/05/2010 às 11h05min) </p><p>Comparando essas definições com o conceito grego de democracia, nascido na Antiga Grécia (em Atenas), no século V aC, à luz da realidade brasileira, pode-se afirmar que são","conceitos políticos idênticos, pois tanto em Atenas como no Brasil, o sentido de democracia é o de “governo do povo, pelo povo e para o povo”.","conceitos políticos parecidos, pois, na antiga Grécia, a democracia era exercida optativamente pelos maiores de 18 anos e, hoje, os jovens brasileiros têm a opção de votar entre 16 e 18 anos.","conceitos políticos semelhantes, pois, tanto na antiga Atenas como no Brasil atual, o voto é obrigatório a alfabetizados, homens e mulheres, maiores de 18 anos.","conceitos diferentes, pois, hoje no Brasil, o voto inclui a maior parte da população brasileira (voto obrigatório a partir dos 18 anos para homens e mulheres alfabetizados e optativo aos jovens entre 16 e 18 anos e também aos analfabetos) e, em Atenas, ele excluía as mulheres, os não livres e os estrangeiros.","conceitos políticos opostos, pois, na antiga Grécia, democracia era sinônimo de domínio do povo e, portanto, ausência de governo organizado, enquanto que, no Brasil atual, através de eleições, o povo escolhe os principais governantes do país.",d,,Etec,2010,5,M,3,"democracia, democracia grega, democracia brasileira, voto, brasil, história do brasil"
Mupi,,,"<p>Em janeiro de 1789, poucos meses antes do início da revolução Francesa, o abade Sieyès escreveu sobre a Em janeiro de 1789, poucos meses antes do início da revolução Francesa, o abade Sieyès escreveu sobre a sociedade francesa daquele momento:</p>
<p><em>“O que é o Terceiro Estado? Tudo.</br>
Que foi ele até o presente na ordem política? Nada.<br>
Que solicita? Tornar-se alguma coisa.”</br></p>
<p>Essa palavras revelam o seguinte:</p>
<p>I. O Terceiro Estado era a maior parte da população (por isso ele era tudo) em uma França agrícola, com
uma sociedade marcada por vestígios feudais e arrasada por condições climáticas desfavoráveis.</br>
II. O Primeiro e o Segundo Estados, que representavam respectivamente o clero e a nobreza, eram
privilegiados, pois não trabalhavam e quase não pagavam impostos. Eram chamados de ”notáveis”, e a
nobreza cortesã vivia às custas das “pensões reais“ ( doações anuais dadas pelo rei) .</br>
III. Todas as decisões políticas estavam concentradas nas mãos do rei Luís XVI (rei absolutista), que,
seguindo as tradições, mantinha os privilégios aos “notáveis” e por isso, o Terceiro Estado não era nada.</br>
IV. Parte do Terceiro Estado, inspirado pelos ideais iluministas, defendia igualdade de direitos e, portanto,
solicitava tornar-se alguma coisa.</p>
<p>Assinale</p>","se I,II, III e IV forem corretas.","se I,II e III forem corretas.","se II, III e IV forem corretas.",se I e III forem corretas.,se III e IV forem corretas.,a,,Etec,2010,5,M,3,"revolução francesa, terceiro estado, França, Luís XIV"
Mupi,,,"<p>No início do século XIX, entre 1810 e 1828, em uma única geração, praticamente toda a América Latina
obteve sua independência das metrópoles ibéricas. Comparando o processo de independência da América
Espanhola e do Brasil, podemos afirmar o seguinte:</p>","Em ambas as independências, houve a participação de índios e negros (escravos ou libertos), pois a independência significava liberdade, e esse sonho era comum nas colônias.","Em toda a América Latina, a independência foi feita pelo povo, que lutou ao lado da elite proprietária de terras e de minas, havendo o apoio de tropas inglesas e francesas.","Na América Espanhola, índios das missões,sob liderança jesuítica, foram os primeiros a se rebelar, sendo prontamente seguidos pelos colonos. De maneira diversa, no Brasil, os colonos se rebelaram, mas os índios não se envolveram nessa questão política.","Na América espanhola, a luta foi liderada pela elite criolla; após as guerras de independência, a América Espanhola se dividiu, originando várias repúblicas. No Brasil, a elite contou com o envolvimento do príncipe regente português, sendo adotada a forma imperial após o fim do sistema colonial.","As independências latino-americanas foram concedidas pelas metrópoles ibéricas,esgotadas financeiramente após as Guerras Napoleônicas. Não conseguindo mais administrar a América colonial, pelos altos custos despendidos nas colônias, a libertação americana foi a solução encontrada.",d,,Etec,2010,5,E,3,"independência das américas, américas, américa latina, américa espanhola, Brasil, independência"
Mupi,,,"<p>“Voto de cabresto”, “curral eleitoral”, “eleições a bico de pena” remetem ao seguinte quadro:</p>","Período colonial, quando o poder era exercido pelos “homens bons”, isto é, os portugueses, ricos proprietários de terras e católicos.","Período do Primeiro Reinado, quando o poder Moderador, exercido pelo Imperador, a tudo e a todos controlava, sem interferência de nenhum outro poder.","Época da redemocratização, quando o Brasil voltou a ter eleições, após longo período de 21 anos de governos militares, marcado pelos “anos de chumbo”.","Época da União Ibérica, quando os holandeses invadiram o Brasil e praticamente dominaram todo o Nordeste, principalmente as zonas de pecuária (daí as expressões “curral”, “cabresto”).","República Oligárquica, quando os ricos proprietários chamados pelo povo de “coronel” exerciam o controle político local e regional, coagindo os eleitores a votarem em seus candidatos.",e,,Etec,2010,5,E,3,"voto de cabresto, coronelismo, curral eleitoral, eleições a bico de pena, história do brasil"
Mupi,s,etec-2010/img017.png,"<p>Conforme as ideias do texto, pode-se dizer que hoje, na divisão internacional do trabalho, a África
essencialmente</p>","transformou-se em quarenta países distintos, que possuem economias rurais porém industrializadas.",permanece como um espaço continental dominado por políticas exploratórias e como produtor de bens secundários.,"produz uma série de bens primários, necessários aos países mais desenvolvidos e de maior industrialização no mundo.","é um dos continentes mais pobres do mundo, pois sua fraca urbanização é insuficiente para ampliar e melhorar sua agricultura.","tornou-se um espaço industrializado desigual, já que a África do Sul é responsável por 50% da produção econômica do continente.",c,,Etec,2010,6,M,3,"áfrica, colonização da áfrica, industrialização da áfrica, impactos da escravidão"
Mupi,s,etec-2010/img017.png,"<p>Segundo informações do texto, em 1885, a África foi dividida entre os países europeus “sem que fossem
levadas em conta as diferenças culturais de centenas de tribos”. Assinale a alternativa que contém expressa
uma das principais consequências desse processo ao longo do tempo histórico.</p>",A multiplicação de conflitos étnicos e guerras no continente.,Uma forte homogeneização social e cultural do continente em geral.,Uma grande diminuição das taxas de natalidade e de mortalidade infantil.,O bloqueio econômico das fronteiras nacionais para países europeus inimigos.,A destruição das culturas locais em favor da cultura americana e francesa no continente.,a,,Etec,2010,6,E,3,"áfrica, colonização da áfrica, impactos da escravidão, divisão da áfrica"
Mupi,s,etec-2010/img017.png,"<p>De acordo com o texto, a agricultura africana “é praticada de três formas: agricultura de subsistência,
agricultura permanente e agricultura de plantations.” A agricultura de plantations caracteriza-se pelo cultivo
de produtos</p>","tropicais (como frutas e algodão) em grandes áreas, voltados para a exportação.","equatoriais (como banana e sisal) em grandes florestas, voltados para a exportação.","temperados (como cereais e oliveiras) em pequenas áreas, voltados para a exportação.","tropicais (como legumes e frutas) em zonas de pradarias, voltados para o mercado europeu.","tropicais (como tâmara e arroz) em áreas semidesérticas, voltados para o mercado interno.",a,,Etec,2010,6,M,3,"áfrica, agricultura africana, agricultura de plantations"
Mupi,s,etec-2010/img017.png,"<p>Segundo as informações do texto, países como Egito e África do Sul possuem indústrias (petrolíferas, têxteis, químicas, siderúrgicas). É válido afirmar que esses países passaram por uma industrialização</p>","originária, baseada em técnicas da 1a Revolução Industrial.","retardatária, baseada em tecnologias da 1a e 2a Revoluções Industriais.","moderna, completada por tecnologias da 1a, 2a e 3a Revoluções Industriais.","completa, introduzida pelos europeus com máquinas atrasadas ou sucateadas.","independente, baseada em processos técnicos de produção semimanufaturada.",b,,Etec,2010,6,M,3,"áfrica, colonização da áfrica, impactos da escravidão, industrialização da áfrica"
